trade_date,up_count,down_count,flat_count,total_count,total_amount_trillion,total_market_cap_trillion,broad_turnover_pct,source,market_cap_source,snapshot_kind
20260722,1431,3649,119,5199,2.65266363925626,122.766079203263,2.160746401996158,东方财富沪深京A股实时行情 / AKShare,东方财富沪深京A股实时行情 / AKShare,收盘后快照
20260723,3995,1143,61,5199,2.194011745699,43.415413881217326,5.0535317979501935,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260724,534,4630,35,5199,1.930015204741,105.9003089298592,1.822483073226259,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260729,3966,1173,61,5200,2.295100816456,42.52864088539186,5.396600428969605,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260730,1634,3447,120,5201,2.341155218467,108.2168439376631,2.163392622885576,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260807,2671,2397,136,5204,2.663225513475,113.7204632232013,2.341905263125632,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260810,3876,1253,75,5204,2.521724233264,45.41910389351109,5.552122382635277,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260811,1559,3505,142,5206,2.31884580823,114.23062204020916,2.0299686430962147,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260812,3860,1215,131,5206,2.151421736141,115.2021265607431,1.867519116503992,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260813,1084,4040,82,5206,2.549735524489,114.38106541134024,2.2291587469653065,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260814,2321,2719,166,5206,2.141685885456,114.71320842460533,1.8669915303289704,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260817,4066,999,141,5206,2.386247254419,117.1339669551985,2.037194945622984,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260818,1839,3240,128,5207,2.399687985603,46.25839168941058,5.187573320134115,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260819,420,4759,29,5208,2.509618692578,113.191440353049,2.217145293628556,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260820,3915,1203,91,5209,2.078611990695,44.35749417415067,4.686044668200196,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260821,2407,2625,177,5209,1.878618885793,44.57160319318636,4.21483355142178,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
20260824,1384,3703,122,5209,2.00658347361,112.59196815342078,1.7821728374760946,新浪沪深京A股实时行情 / AKShare,上交所、深交所市场总貌 / AKShare,收盘后快照
