trade_date,top_fraction,stock_count,top_count,top_amount_trillion,total_amount_trillion,crowding_pct,source,snapshot_kind
20260722,0.05,5197,260,1.41410561466204,2.65266363925626,53.30889275726341,东方财富沪深京A股实时行情 / AKShare,收盘后快照
20260723,0.05,5196,260,1.121176364099,2.194011745699,51.10165733145605,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260724,0.05,5195,260,0.964165864866,1.930015204741,49.95638700138567,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260729,0.05,5191,260,1.153451886085,2.295100816456,50.25713370910272,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260730,0.05,5195,260,1.191846148732,2.341155218467,50.908463451322405,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260807,0.05,5200,260,1.348788009347,2.663225513475,50.64490417813283,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260810,0.05,5203,261,1.252093334348,2.521724233264,49.65227037245663,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260811,0.05,5203,261,1.121138085188,2.31884580823,48.348970906512186,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260812,0.05,5202,261,1.027264867538,2.151421736141,47.74818671213216,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260813,0.05,5203,261,1.240709931213,2.549735524489,48.66033827024685,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260814,0.05,5203,261,1.016434930141,2.141685885456,47.45957084759815,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260817,0.05,5201,261,1.186328838808,2.386247254419,49.71525212280844,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260818,0.05,5202,261,1.154874642663,2.399687985603,48.12603345066963,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260819,0.05,5202,261,1.214168654636,2.509618692578,48.38060292692305,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260820,0.05,5202,261,0.968924745582,2.078611990695,46.61402656770168,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260821,0.05,5203,261,0.888159976457,1.878618885793,47.277283496598685,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260824,0.05,5205,261,0.961474786243,2.00658347361,47.91601241054936,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260826,0.05,5207,261,0.804011406047,1.807533700461,44.4811294993804,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260901,0.05,5205,261,0.861621413614,2.031906010904,42.40459002484384,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260902,0.05,5206,261,0.761287636705,1.78851944908,42.56524227883573,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260903,0.05,5207,261,0.752955557445,1.757443574109,42.84379700934286,新浪沪深京A股实时行情 / AKShare,收盘后快照
20260904,0.05,5205,261,0.864674265967,2.029425507462,42.606849218543715,新浪沪深京A股实时行情 / AKShare,收盘后快照
